Last table change time   : 1:15:49 ago
Number of table inserts  : 9
Number of table deletes  : 0
Number of table drops    : 0
Number of table age-outs : 0

Port          Neighbor Device ID       Neighbor Port ID    TTL
---------- ------------------------ ---------------------- ---
Et19          Leaf1.mgr.lab            Ethernet19          120
Et20          Leaf2.mgr.lab            Ethernet20          120
Ma0           host-2                   Management0         120
Ma0           Leaf1.mgr.lab            Management0         120
Ma0           Spine2.mgr.lab           Management0         120
Ma0           Leaf4.mgr.lab            Management0         120
Ma0           Leaf3.mgr.lab            Management0         120
Ma0           Leaf2.mgr.lab            Management0         120
Ma0           Spine1.mgr.lab           Management0         120

